SOLUTION
7 n100w8

ASSIGNMENTS = 363
HN_0 Mon Early Nurse
HN_1 Wed Day Nurse
HN_1 Thu Day Nurse
HN_1 Fri Day HeadNurse
HN_1 Sat Day HeadNurse
HN_1 Sun Late Nurse
HN_2 Tue Late Nurse
HN_2 Wed Late HeadNurse
HN_2 Thu Late Nurse
HN_2 Fri Late HeadNurse
HN_3 Thu Day HeadNurse
HN_3 Fri Day Nurse
HN_3 Sat Early Nurse
HN_3 Sun Early Nurse
HN_4 Wed Early HeadNurse
HN_4 Thu Early Nurse
HN_4 Fri Day Nurse
HN_4 Sat Early HeadNurse
HN_4 Sun Early HeadNurse
HN_5 Mon Day Nurse
HN_5 Tue Day HeadNurse
HN_5 Sat Night HeadNurse
HN_5 Sun Night HeadNurse
HN_6 Mon Early HeadNurse
HN_6 Tue Early HeadNurse
HN_6 Wed Late Nurse
HN_6 Thu Night HeadNurse
HN_7 Tue Night Nurse
HN_7 Wed Night Nurse
HN_7 Thu Night Nurse
HN_7 Fri Night Nurse
HN_8 Wed Day HeadNurse
HN_8 Thu Early HeadNurse
HN_8 Fri Early HeadNurse
HN_9 Mon Day Nurse
HN_9 Thu Day HeadNurse
HN_9 Fri Night HeadNurse
HN_9 Sat Night Nurse
HN_9 Sun Night Nurse
HN_10 Tue Day HeadNurse
HN_10 Wed Day Nurse
HN_11 Tue Day Nurse
HN_11 Wed Day Nurse
HN_11 Thu Night Nurse
HN_11 Fri Night HeadNurse
HN_13 Mon Late Nurse
HN_13 Fri Late HeadNurse
HN_13 Sat Late Nurse
HN_13 Sun Late HeadNurse
HN_14 Mon Late HeadNurse
HN_14 Tue Late Nurse
HN_14 Wed Late Nurse
HN_14 Sat Late HeadNurse
HN_14 Sun Late HeadNurse
HN_15 Mon Late Nurse
HN_15 Tue Late HeadNurse
HN_15 Fri Day HeadNurse
HN_15 Sat Day HeadNurse
HN_15 Sun Early Nurse
NU_16 Tue Early Caretaker
NU_16 Wed Early Caretaker
NU_16 Thu Early Caretaker
NU_16 Fri Early Nurse
NU_17 Tue Day Caretaker
NU_17 Wed Day Nurse
NU_17 Thu Night Caretaker
NU_17 Fri Night Nurse
NU_17 Sat Night Nurse
NU_17 Sun Night Nurse
NU_18 Tue Night Nurse
NU_18 Wed Night Caretaker
NU_18 Thu Night Nurse
NU_18 Fri Night Caretaker
NU_19 Mon Early Caretaker
NU_19 Tue Early Caretaker
NU_19 Fri Late Nurse
NU_19 Sat Late Nurse
NU_19 Sun Night Caretaker
NU_20 Wed Early Nurse
NU_20 Thu Early Caretaker
NU_20 Fri Early Nurse
NU_20 Sat Early Caretaker
NU_20 Sun Early Nurse
NU_21 Mon Early Caretaker
NU_21 Tue Early Nurse
NU_21 Wed Early Caretaker
NU_21 Thu Early Nurse
NU_21 Fri Early Nurse
NU_22 Wed Early Nurse
NU_22 Thu Early Nurse
NU_23 Mon Night Caretaker
NU_23 Tue Night Caretaker
NU_24 Mon Early Caretaker
NU_24 Tue Early Caretaker
NU_24 Sat Night Caretaker
NU_24 Sun Night Caretaker
NU_25 Mon Night Nurse
NU_25 Tue Night Nurse
NU_25 Wed Night Caretaker
NU_26 Fri Early Nurse
NU_26 Sat Early Caretaker
NU_26 Sun Day Nurse
NU_27 Mon Night Caretaker
NU_27 Tue Night Caretaker
NU_27 Wed Night Nurse
NU_28 Tue Day Nurse
NU_28 Wed Day Nurse
NU_28 Thu Day Caretaker
NU_29 Mon Night Nurse
NU_29 Tue Night Caretaker
NU_30 Mon Early Nurse
NU_30 Tue Early Nurse
NU_30 Wed Early Caretaker
NU_30 Thu Late Nurse
NU_30 Fri Late Nurse
