SOLUTION
6 n100w8

ASSIGNMENTS = 340
HN_0 Sat Early HeadNurse
HN_0 Sun Early HeadNurse
HN_1 Mon Early Nurse
HN_1 Tue Early HeadNurse
HN_2 Thu Late HeadNurse
HN_2 Fri Late Nurse
HN_3 Sat Day HeadNurse
HN_3 Sun Day Nurse
HN_4 Tue Night Nurse
HN_4 Wed Night Nurse
HN_4 Thu Night Nurse
HN_4 Sun Night HeadNurse
HN_5 Mon Early HeadNurse
HN_5 Tue Early Nurse
HN_5 Wed Early Nurse
HN_6 Tue Night HeadNurse
HN_6 Wed Night Nurse
HN_6 Thu Night Nurse
HN_6 Fri Night Nurse
HN_7 Mon Day HeadNurse
HN_7 Tue Day HeadNurse
HN_7 Wed Night HeadNurse
HN_7 Thu Night HeadNurse
HN_8 Mon Early Nurse
HN_8 Tue Early Nurse
HN_8 Wed Early HeadNurse
HN_9 Tue Day HeadNurse
HN_9 Wed Day HeadNurse
HN_9 Thu Day Nurse
HN_9 Fri Day HeadNurse
HN_9 Sat Day HeadNurse
HN_9 Sun Day HeadNurse
HN_10 Mon Late HeadNurse
HN_10 Tue Late Nurse
HN_10 Sat Night HeadNurse
HN_10 Sun Night Nurse
HN_11 Thu Day Nurse
HN_11 Fri Day HeadNurse
HN_12 Wed Early Nurse
HN_12 Thu Early HeadNurse
HN_12 Fri Day Nurse
HN_12 Sat Day Nurse
HN_12 Sun Late HeadNurse
HN_13 Mon Night Nurse
HN_13 Fri Early HeadNurse
HN_13 Sat Early HeadNurse
HN_13 Sun Late HeadNurse
HN_14 Wed Late Nurse
HN_14 Thu Late Nurse
HN_14 Fri Late HeadNurse
HN_15 Mon Late HeadNurse
HN_15 Tue Night Nurse
HN_15 Wed Night Nurse
HN_15 Sat Late HeadNurse
HN_15 Sun Late Nurse
NU_16 Tue Day Nurse
NU_16 Wed Day Nurse
NU_16 Thu Early Nurse
NU_16 Fri Early Caretaker
NU_17 Mon Night Nurse
NU_17 Tue Night Nurse
NU_17 Wed Night Caretaker
NU_17 Thu Night Caretaker
NU_18 Tue Day Caretaker
NU_18 Wed Day Nurse
NU_18 Thu Night Caretaker
NU_18 Fri Night Nurse
NU_18 Sat Night Caretaker
NU_18 Sun Night Caretaker
NU_19 Mon Day Nurse
NU_19 Tue Day Caretaker
NU_20 Mon Early Nurse
NU_20 Tue Early Nurse
NU_20 Wed Night Nurse
NU_20 Thu Night Nurse
